tier,held_out_city,seed,model,n_train,n_test,zero_shot,n,rmse,mae,bias,r2,median_ae
static_only,Dushanbe,0,lightgbm,3775,343,False,343,42.37322161582971,25.310756555669688,-13.920725529590635,-0.09288596769745716,14.942295722095375
static_only,Dushanbe,1,lightgbm,3775,343,False,343,42.561208784339655,25.601538463862514,-13.319338525665012,-0.1026045712395518,15.4505257364384
static_only,Dushanbe,2,lightgbm,3775,343,False,343,43.4312840886041,26.01603472818886,-14.641840969913503,-0.1481462737461865,14.862391636606716
static_only,Dushanbe,3,lightgbm,3775,343,False,343,43.097286744067674,25.931796285429193,-13.823481832410879,-0.13055511590344482,15.268720522440198
static_only,Dushanbe,4,lightgbm,3775,343,False,343,43.091902744216995,25.751752869859754,-14.441576992996833,-0.13027266061094367,15.286264211862694
static_only,Dushanbe,0,cams_debiased_pooled,0,343,False,343,47.95555989277336,29.4882470017659,-27.643886194130275,-0.39981232348674056,16.60831688765886
static_only,Khujand,0,lightgbm,4821,592,True,592,35.5829441115007,23.23431600426174,-2.1898925607908186,0.26646037854835913,15.224571745620892
static_only,Khujand,1,lightgbm,4821,592,True,592,36.284922330752615,24.01302984573996,-1.908136420458318,0.2372324384190867,16.430175365894808
static_only,Khujand,2,lightgbm,4821,592,True,592,35.92664162131971,24.055995119822757,-1.7040779195371902,0.25222134650040373,16.229010195451963
static_only,Khujand,3,lightgbm,4821,592,True,592,36.415010742548006,24.105830843426027,-1.8495267057737828,0.23175329785123222,16.38088649272533
static_only,Khujand,4,lightgbm,4821,592,True,592,36.50253274239196,24.553951768406034,-0.9746157686281246,0.22805596046972143,17.039890413716503
static_only,Khujand,0,cams_debiased_pooled,0,592,True,592,39.901334913920735,25.301479407311643,-9.719510731085155,0.07760982012146289,15.112980795315
static_only,Tashkent,0,lightgbm,3674,337,False,337,29.829552969208702,18.154358342027145,-11.591256439846804,0.0713686817056679,8.479488423297777
static_only,Tashkent,1,lightgbm,3674,337,False,337,30.94157249001144,18.499678484898922,-12.597639556507831,0.0008410132812074478,8.684672564347926
static_only,Tashkent,2,lightgbm,3674,337,False,337,31.435998556309922,18.90068177301916,-12.954261164781986,-0.031345924063129305,8.270966290300336
static_only,Tashkent,3,lightgbm,3674,337,False,337,32.01073753768659,19.192963031385545,-13.516200706575004,-0.06940250567229467,8.736924851811224
static_only,Tashkent,4,lightgbm,3674,337,False,337,31.209563897201527,18.924008315931346,-12.976395719545511,-0.01654178855317312,8.335071398398796
static_only,Tashkent,0,cams_debiased_pooled,0,337,False,337,28.62907610305213,20.147136294571673,-2.914665245697751,0.1446093431876413,14.362674625081027
deployable,Almaty,0,lightgbm,4283,345,False,345,22.157333714188553,18.66712387360527,9.300810887411403,-0.011836789991576335,16.194500070670834
deployable,Almaty,1,lightgbm,4283,345,False,345,21.804606627006624,18.228104623144432,9.064586580841379,0.020122059265296866,15.21690229524952
deployable,Almaty,2,lightgbm,4283,345,False,345,22.168929976265737,18.544521875034658,9.178445388037089,-0.01289617693552536,16.33804194014346
deployable,Almaty,3,lightgbm,4283,345,False,345,22.599569313119055,19.15716020994575,9.26836204293694,-0.052630123478084156,17.03932200474548
deployable,Almaty,4,lightgbm,4283,345,False,345,21.391513653906063,17.869500546615583,8.60630899653757,0.05689835795654896,15.755685283001487
deployable,Almaty,0,cams_debiased_pooled,0,345,False,345,23.245090143162837,20.76182214996498,11.106098665359692,-0.1136223490306787,21.078534963078695
deployable,Ashgabat,0,lightgbm,3882,263,False,263,28.005078906473397,19.093134404641663,9.677376601377189,-1.2732120622808236,13.195847221177965
deployable,Ashgabat,1,lightgbm,3882,263,False,263,25.59273868648378,17.360076596804284,7.600081505151897,-0.898453111300128,11.295477015414424
deployable,Ashgabat,2,lightgbm,3882,263,False,263,27.398659787206956,19.136570127847914,10.733734449272806,-1.1758301478323463,12.215308800112805
deployable,Ashgabat,3,lightgbm,3882,263,False,263,26.152676501579485,17.740381441612058,7.985104985350598,-0.982433527917274,11.716173431831622
deployable,Ashgabat,4,lightgbm,3882,263,False,263,25.995098520196198,17.943038586498634,7.709477376911579,-0.9586159460602968,11.996923705880961
deployable,Ashgabat,0,cams_debiased_pooled,0,263,False,263,18.831754385843258,14.085155472733872,6.6013212015566465,-0.02789301061577998,12.558229567079227
deployable,Bishkek,0,lightgbm,3670,334,False,334,19.33334414969635,15.90830159572215,10.967546865420848,-0.4176173165742676,13.96966486093088
deployable,Bishkek,1,lightgbm,3670,334,False,334,19.295089768913204,15.992370044073995,11.01128282118583,-0.41201286238334767,15.026038027046264
deployable,Bishkek,2,lightgbm,3670,334,False,334,19.241423305832004,15.714403663528778,10.299869796314345,-0.4041691721259397,14.258324961908713
deployable,Bishkek,3,lightgbm,3670,334,False,334,19.90831551276983,16.519605869021778,11.31132009913818,-0.5031906850410945,15.007794713283223
deployable,Bishkek,4,lightgbm,3670,334,False,334,19.06714208843657,15.788115678505779,10.788063537901527,-0.37884755024004124,14.406674191321958
deployable,Bishkek,0,cams_debiased_pooled,0,334,False,334,20.028893882570493,17.377185751903486,11.952747134598663,-0.5214545282131502,17.28766869950227
deployable,Dushanbe,0,lightgbm,3775,343,False,343,43.43246152265297,26.27914168173061,-10.606450529668802,-0.14820852771214232,16.225932559632888
deployable,Dushanbe,1,lightgbm,3775,343,False,343,42.62753968297879,25.601480076176514,-10.851016646076252,-0.10604402915525779,15.93085277434579
deployable,Dushanbe,2,lightgbm,3775,343,False,343,43.44952945627667,26.51472042204978,-10.124371094569176,-0.14911114280403304,16.944050974561875
deployable,Dushanbe,3,lightgbm,3775,343,False,343,44.018586582652176,26.431217863115304,-12.452582938698104,-0.1794079958050474,15.986523763740873
deployable,Dushanbe,4,lightgbm,3775,343,False,343,43.31810529342489,26.297887342713906,-10.19041040057941,-0.1421700978183209,16.05166768157804
