task,fold,held_out_city,station_id,model,n,rmse,mae,bias,r2,median_ae,f1_exceed,f1_trivial_always,beats_trivial,peirce_skill,base_rate,precision,recall,n_days,n_exceed_obs,kriging_fallback_rate
N,2,Bishkek,Bishkek,ordinary_kriging,7900,39.82289507344509,29.35673979318261,23.90318208844665,-1.0850020861900647,20.031559596260713,0.4250681198910082,0.3795620437956204,True,0.1725490196078432,0.23423423423423423,0.2698961937716263,1.0,333,78,0.0001
N,3,Dushanbe,Dushanbe,training_pool_mean,8282,53.40788170020246,29.761145581921166,-13.977822588145981,-0.0735332646835074,17.621549544189207,0.9380804953560371,0.9380804953560371,False,0.0,0.8833819241982507,0.8833819241982507,1.0,343,303,
N,3,Dushanbe,Dushanbe,nearest_monitor,8282,56.54669684133443,33.75864283989374,-20.636322144409565,-0.20342569935434085,19.0,0.7014613778705637,0.9380804953560371,False,0.3544554455445545,0.8833819241982507,0.9545454545454546,0.5544554455445545,343,303,
N,3,Dushanbe,Dushanbe,idw_k5_p2,8282,54.954915070929054,32.94950199718763,-13.740721277984747,-0.13662677448802318,18.93250592249783,0.7786259541984735,0.9380804953560371,False,0.24826732673267332,0.8833819241982507,0.9230769230769231,0.6732673267326733,343,303,
N,3,Dushanbe,Dushanbe,ordinary_kriging,8282,53.601943984148086,31.001482874506962,-19.016536887225307,-0.08134899553016872,18.021166666666666,0.7641325536062377,0.9380804953560371,False,0.29686468646864683,0.8833819241982507,0.9333333333333333,0.6468646864686468,343,303,0.0023
N,4,Khujand,1894632,training_pool_mean,6773,34.91825062036479,27.716318325967414,9.809841406282125,-0.08568886722420488,27.458096241657884,0.6842105263157895,0.6842105263157895,False,0.0,0.52,0.52,1.0,275,143,
N,4,Khujand,1924313,training_pool_mean,7783,51.31413236517376,34.478477353373584,-8.770336239390556,-0.030090820096563498,24.458096241657884,0.8896672504378285,0.8896672504378285,False,0.0,0.8012618296529969,0.8012618296529969,1.0,317,254,
N,4,Khujand,1894632,nearest_monitor,6753,42.260427325575684,24.443673922701024,7.163611728120837,-0.5862619922879502,11.599999999999994,0.782608695652174,0.6826923076923078,True,0.4355527102005975,0.5182481751824818,0.6650246305418719,0.9507042253521126,274,142,
N,4,Khujand,1924313,nearest_monitor,7762,51.5154457322763,30.661895130121103,-10.270124967791805,-0.03591877119834286,14.049999999999997,0.8906882591093117,0.8892794376098418,True,0.536231884057971,0.8006329113924051,0.9128630705394191,0.8695652173913043,316,253,
N,4,Khujand,1894632,idw_k5_p2,6753,37.309290143035014,22.929105961006304,8.063511244552757,-0.2363491148359853,12.561297959147433,0.733695652173913,0.6826923076923078,True,0.2613102859581732,0.5182481751824818,0.5973451327433629,0.9507042253521126,274,142,
N,4,Khujand,1924313,idw_k5_p2,7762,47.659024261831625,28.721692015966727,-9.594734423250332,0.11337275550050319,13.838383050205662,0.8884615384615384,0.8892794376098418,False,0.3416149068322981,0.8006329113924051,0.8651685393258427,0.9130434782608695,316,253,
N,4,Khujand,1894632,ordinary_kriging,6753,32.53513490508549,20.10030272464945,2.8980382615840155,0.05981704431691526,10.74704768291521,0.7528089887640449,0.6826923076923078,True,0.3376013657703798,0.5182481751824818,0.6261682242990654,0.9436619718309859,274,142,0.0024
N,4,Khujand,1924313,ordinary_kriging,7762,47.5128047561534,27.79213372617474,-15.507236929666325,0.11880481484637873,12.179618972596124,0.8814229249011858,0.8892794376098418,False,0.4052324487107096,0.8006329113924051,0.8814229249011858,0.8814229249011858,316,253,0.0024
N,5,Tashkent,8881,training_pool_mean,7903,40.378450937766566,28.462895981540257,2.6386342926035233,-0.004288620714620217,23.572424798880725,0.8154657293497364,0.8154657293497364,False,0.0,0.6884272997032641,0.6884272997032641,1.0,337,232,
N,5,Tashkent,8881,nearest_monitor,7903,44.2055435492928,24.922170062001772,-4.451622168796659,-0.20368460007179068,11.7,0.7935034802784222,0.8154657293497364,False,0.47040229885057466,0.6884272997032641,0.8592964824120602,0.7370689655172413,337,232,
N,5,Tashkent,8881,idw_k5_p2,7903,40.850925932163115,23.573770179834934,2.284648513671942,-0.027928822782123275,11.489220706493185,0.8416666666666667,0.8154657293497364,True,0.4325944170771757,0.6884272997032641,0.8145161290322581,0.8706896551724138,337,232,
N,5,Tashkent,8881,ordinary_kriging,7903,36.47969667051824,21.192564346360946,-3.490969743489001,0.1802872859582667,11.314013618508405,0.8291666666666667,0.8154657293497364,True,0.39109195402298846,0.6884272997032641,0.8024193548387096,0.8577586206896551,337,232,0.0014
