task,station_id,horizon_h,model,n,rmse,mae,bias,r2,median_ae,f1_exceed,precision,recall,n_days,n_exceed_obs,city
F,8684,72,persistence,8037,55.0098105652961,30.811123553564762,0.20368296628095062,-0.1637238456168717,15.0,0.9215017064846417,0.9215017064846417,0.9215017064846417,333,293,Dushanbe
F,8684,72,diurnal_persistence,8037,55.0098105652961,30.811123553564762,0.20368296628095062,-0.1637238456168717,15.0,0.9215017064846417,0.9215017064846417,0.9215017064846417,333,293,Dushanbe
F,8684,72,same_hour_mean_7d,8200,46.798277915759044,27.6775699767712,-0.3709294425087109,0.15280851953357444,15.535714285714285,0.9335443037974682,0.8885542168674698,0.9833333333333333,340,300,Dushanbe
F,8684,72,climatology_mean,8272,44.768482319787566,28.045846300452205,3.0554349388623265,0.22099457024009383,19.509090909090908,0.9380804953560371,0.8833819241982507,1.0,343,303,Dushanbe
F,8881,24,persistence,7492,38.3255298200175,22.25734116390817,-0.3200747463961559,0.09346063979827846,11.0,0.8977777777777778,0.9017857142857143,0.8938053097345132,327,226,Tashkent
F,8881,24,diurnal_persistence,7492,38.3255298200175,22.25734116390817,-0.3200747463961559,0.09346063979827846,11.0,0.8977777777777778,0.9017857142857143,0.8938053097345132,327,226,Tashkent
F,8881,24,same_hour_mean_7d,7879,35.90316078153065,21.561973358959015,0.6441822445439656,0.20434169561212212,11.571428571428573,0.8498942917547568,0.8305785123966942,0.8701298701298701,336,231,Tashkent
F,8881,24,climatology_mean,7903,37.59285294366725,26.21654050257182,5.592465128955124,0.12949793466490545,20.736842105263158,0.8154657293497364,0.6884272997032641,1.0,337,232,Tashkent
F,8881,48,persistence,7394,44.71572819926549,25.589667297809033,-0.2978090343521774,-0.22079115384769832,13.0,0.8636363636363636,0.8636363636363636,0.8636363636363636,323,220,Tashkent
F,8881,48,diurnal_persistence,7394,44.71572819926549,25.589667297809033,-0.2978090343521774,-0.22079115384769832,13.0,0.8636363636363636,0.8636363636363636,0.8636363636363636,323,220,Tashkent
F,8881,48,same_hour_mean_7d,7861,37.34872415078238,22.567975721009688,0.80627934165652,0.13969379413913996,11.714285714285715,0.8340425531914893,0.8166666666666667,0.8521739130434782,335,230,Tashkent
F,8881,48,climatology_mean,7903,37.59285294366725,26.21654050257182,5.592465128955124,0.12949793466490545,20.736842105263158,0.8154657293497364,0.6884272997032641,1.0,337,232,Tashkent
F,8881,72,persistence,7347,46.66078585901742,26.805090513134612,0.2851504015244317,-0.3318823785195506,13.0,0.8287037037037036,0.8325581395348837,0.8248847926267281,319,217,Tashkent
F,8881,72,diurnal_persistence,7347,46.66078585901742,26.805090513134612,0.2851504015244317,-0.3318823785195506,13.0,0.8287037037037036,0.8325581395348837,0.8248847926267281,319,217,Tashkent
F,8881,72,same_hour_mean_7d,7837,38.053863479425985,23.03572491903486,1.0292325173019323,0.09789949535429832,12.0,0.8230277185501065,0.8041666666666667,0.8427947598253275,334,229,Tashkent
F,8881,72,climatology_mean,7903,37.59285294366725,26.21654050257182,5.592465128955124,0.12949793466490545,20.736842105263158,0.8154657293497364,0.6884272997032641,1.0,337,232,Tashkent
F,Bishkek,24,persistence,7437,34.514516728462645,15.058679575097484,0.016404464165658196,-0.5544464925710806,5.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,319,77,Bishkek
F,Bishkek,24,diurnal_persistence,7437,34.514516728462645,15.058679575097484,0.016404464165658196,-0.5544464925710806,5.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,319,77,Bishkek
F,Bishkek,24,same_hour_mean_7d,7876,27.253999421624354,12.988432731142229,-0.07545357807927634,0.025909625157276017,5.142857142857142,0.7093023255813954,0.648936170212766,0.782051282051282,332,78,Bishkek
F,Bishkek,24,climatology_mean,7900,41.323493036534224,28.417109771692193,23.798053400236302,-1.2450958375602807,15.069265367316342,0.47706422018348627,0.3132530120481928,1.0,333,78,Bishkek
F,Bishkek,48,persistence,7365,35.21763350136582,15.454161575016972,0.22257976917854722,-0.6466610225742331,5.0,0.6538461538461539,0.6455696202531646,0.6623376623376623,317,77,Bishkek
F,Bishkek,48,diurnal_persistence,7365,35.21763350136582,15.454161575016972,0.22257976917854722,-0.6466610225742331,5.0,0.6538461538461539,0.6455696202531646,0.6623376623376623,317,77,Bishkek
F,Bishkek,48,same_hour_mean_7d,7856,27.655090728545638,13.072384407428958,-0.11283944331296662,-0.0006758180381845058,5.042857142857143,0.6627906976744187,0.6063829787234043,0.7307692307692307,331,78,Bishkek
F,Bishkek,48,climatology_mean,7900,41.323493036534224,28.417109771692193,23.798053400236302,-1.2450958375602807,15.069265367316342,0.47706422018348627,0.3132530120481928,1.0,333,78,Bishkek
F,Bishkek,72,persistence,7299,37.00294445503275,16.15295245924099,0.08168242224962323,-0.7537858012097056,5.0,0.5844155844155844,0.5769230769230769,0.5921052631578947,314,76,Bishkek
F,Bishkek,72,diurnal_persistence,7299,37.00294445503275,16.15295245924099,0.08168242224962323,-0.7537858012097056,5.0,0.5844155844155844,0.5769230769230769,0.5921052631578947,314,76,Bishkek
F,Bishkek,72,same_hour_mean_7d,7840,27.785013871779036,13.148854409620991,-0.214569120505345,-0.008199766207061643,5.171428571428571,0.631578947368421,0.5806451612903226,0.6923076923076923,330,78,Bishkek
F,Bishkek,72,climatology_mean,7900,41.323493036534224,28.417109771692193,23.798053400236302,-1.2450958375602807,15.069265367316342,0.47706422018348627,0.3132530120481928,1.0,333,78,Bishkek
F,Ashgabat,24,persistence,6259,37.2335525312171,16.978750599137243,0.046972359801885286,-0.5898161367067203,9.0,0.8368421052631579,0.8368421052631579,0.8368421052631579,258,190,Ashgabat
F,Ashgabat,24,diurnal_persistence,6259,37.2335525312171,16.978750599137243,0.046972359801885286,-0.5898161367067203,9.0,0.8368421052631579,0.8368421052631579,0.8368421052631579,258,190,Ashgabat
F,Ashgabat,24,same_hour_mean_7d,6322,31.180701497283543,16.38065297298926,0.17059286542836055,-0.12259200005012749,10.285714285714285,0.8275862068965517,0.7407407407407407,0.9375,260,192,Ashgabat
F,Ashgabat,24,climatology_mean,6394,30.133832959176377,14.051811785530974,-7.134271124468048,-0.05638870609828883,8.528039832285117,0.792079207920792,0.7619047619047619,0.8247422680412371,263,194,Ashgabat
F,Ashgabat,48,persistence,6140,39.50089678609256,19.214657980456025,0.3322475570032573,-0.8041340821022007,11.0,0.7741935483870968,0.7741935483870968,0.7741935483870968,253,186,Ashgabat
F,Ashgabat,48,diurnal_persistence,6140,39.50089678609256,19.214657980456025,0.3322475570032573,-0.8041340821022007,11.0,0.7741935483870968,0.7741935483870968,0.7741935483870968,253,186,Ashgabat
F,Ashgabat,48,same_hour_mean_7d,6251,32.27308256901202,17.352076620121736,0.10695622033807897,-0.19349922117430407,11.142857142857142,0.8158508158508158,0.7322175732217573,0.9210526315789473,257,190,Ashgabat
F,Ashgabat,48,climatology_mean,6394,30.133832959176377,14.051811785530974,-7.134271124468048,-0.05638870609828883,8.528039832285117,0.792079207920792,0.7619047619047619,0.8247422680412371,263,194,Ashgabat
F,Ashgabat,72,persistence,6024,38.167690215170495,19.823705179282868,0.703519256308101,-1.0975531777347451,12.0,0.7417582417582419,0.7417582417582418,0.7417582417582418,248,182,Ashgabat
F,Ashgabat,72,diurnal_persistence,6024,38.167690215170495,19.823705179282868,0.703519256308101,-1.0975531777347451,12.0,0.7417582417582419,0.7417582417582418,0.7417582417582418,248,182,Ashgabat
F,Ashgabat,72,same_hour_mean_7d,6179,32.84251631186132,17.816769549703686,0.07287664054131122,-0.22694465875738046,11.285714285714286,0.8009478672985781,0.7191489361702128,0.9037433155080213,254,187,Ashgabat
F,Ashgabat,72,climatology_mean,6394,30.133832959176377,14.051811785530974,-7.134271124468048,-0.05638870609828883,8.528039832285117,0.792079207920792,0.7619047619047619,0.8247422680412371,263,194,Ashgabat
