task,tier,held_out_city,seed,model,params,val_rmse,zero_shot,n,rmse,mae,bias,r2,median_ae
N,static_only,Dushanbe,0,cams_debiased_pooled,,,False,343,47.95555989277336,29.4882470017659,-27.643886194130275,-0.39981232348674056,16.60831688765886
N,static_only,Khujand,0,lgbm_tuned,"(0.03, 31, 20, 0.7)",36.66523079499151,True,592,35.025223306293896,21.38490714119753,-7.886220628159823,0.2892749127004619,11.457429043665314
N,static_only,Khujand,1,lgbm_tuned,"(0.03, 31, 20, 0.7)",36.66523079499151,True,592,35.270477169379404,21.115977861539605,-8.29098707346553,0.2792867768746956,10.986004889490411
N,static_only,Khujand,2,lgbm_tuned,"(0.03, 31, 20, 0.7)",36.66523079499151,True,592,35.74163825186418,21.484550728689268,-9.249007277053785,0.25990285364923094,11.443168695192838
N,static_only,Khujand,3,lgbm_tuned,"(0.03, 31, 20, 0.7)",36.66523079499151,True,592,35.79091918108387,21.24753419834552,-9.4479550566792,0.2578605399045233,10.661772492466053
N,static_only,Khujand,4,lgbm_tuned,"(0.03, 31, 20, 0.7)",36.66523079499151,True,592,36.57922560965195,21.331172218112407,-11.17108470822695,0.2248087997669045,10.279385939497343
N,static_only,Khujand,0,cams_debiased_pooled,,,True,592,39.901334913920735,25.301479407311643,-9.719510731085155,0.07760982012146289,15.112980795315
N,static_only,Tashkent,0,lgbm_tuned,"(0.03, 31, 20, 0.7)",38.36574796613395,False,337,29.560285883446657,17.168641206022563,-13.335955486496804,0.088058255771014,7.137496153474004
N,static_only,Tashkent,1,lgbm_tuned,"(0.03, 31, 20, 0.7)",38.36574796613395,False,337,30.534980417414772,17.79714151341525,-13.788339692210485,0.02692765965542998,7.312584908808617
N,static_only,Tashkent,2,lgbm_tuned,"(0.03, 31, 20, 0.7)",38.36574796613395,False,337,30.10346412728208,17.493220612493317,-13.820371317737393,0.05423598599898616,7.1830257698430735
N,static_only,Tashkent,3,lgbm_tuned,"(0.03, 31, 20, 0.7)",38.36574796613395,False,337,30.49758501300049,17.86889856580225,-13.030254126869716,0.029309593503458742,7.775515187308688
N,static_only,Tashkent,4,lgbm_tuned,"(0.03, 31, 20, 0.7)",38.36574796613395,False,337,30.22846110581967,17.733111850115197,-13.028902316662213,0.04636559088370673,7.517110173053128
N,static_only,Tashkent,0,cams_debiased_pooled,,,False,337,28.62907610305213,20.147136294571673,-2.914665245697751,0.1446093431876413,14.362674625081027
